,episodes,sfw,start_year,episode_duration,total_duration,synopsis_char_count,title_char_count,start_date_day_of_year,end_date_day_of_year,broadcast_time,is_Action,is_Adventure,is_Drama,is_Fantasy,is_Sci-Fi,is_Suspense,is_Supernatural,is_Award Winning,is_Romance,is_Comedy,is_Sports,is_Slice of Life,is_Mystery,is_Avant Garde,is_Horror,is_Ecchi,is_Gourmet,is_Boys Love,is_Girls Love,is_Hentai,is_Erotica,is_Shounen,is_Seinen,is_Shoujo,is_Josei,is_Kids,score
0,64.0,1,2009.0,1460.0,93440.0,1163,32,95.0,185.0,1020.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.13
1,148.0,1,2011.0,1417.0,209716.0,887,22,275.0,267.0,655.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.04
2,10.0,1,2019.0,1435.0,14350.0,857,34,119.0,182.0,10.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.07
3,24.0,1,2011.0,1460.0,35040.0,1192,11,96.0,257.0,125.0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.08
6,25.0,1,2008.0,1440.0,36000.0,844,34,97.0,272.0,1020.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.91
7,16.0,1,2021.0,1435.0,22960.0,831,36,342.0,88.0,10.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.83
9,25.0,1,2006.0,1440.0,36000.0,847,31,279.0,210.0,85.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7
10,37.0,1,2006.0,1380.0,51060.0,1046,10,277.0,178.0,56.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.62
11,24.0,1,2020.0,1435.0,34440.0,888,19,277.0,86.0,85.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.68
12,22.0,1,2014.0,1375.0,30250.0,956,23,283.0,79.0,80.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.66
13,12.0,1,2018.0,1434.0,17208.0,1155,27,204.0,288.0,35.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.62
15,26.0,1,1998.0,1440.0,37440.0,1031,12,93.0,114.0,60.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76
16,25.0,1,2013.0,1440.0,36000.0,1157,18,97.0,272.0,118.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.53
17,26.0,1,2019.0,1420.0,36920.0,1060,16,96.0,271.0,1410.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.54
18,13.0,1,2019.0,1450.0,18850.0,708,17,7.0,91.0,1380.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.81
19,12.0,1,2015.0,1460.0,17520.0,1005,13,278.0,355.0,65.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.51
20,10.0,1,2016.0,1440.0,14400.0,850,58,282.0,345.0,115.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.79
21,13.0,1,2018.0,1478.0,19214.0,961,17,11.0,95.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67
22,12.0,1,2017.0,1450.0,17400.0,958,27,91.0,168.0,1320.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.5
23,24.0,1,2008.0,1460.0,35040.0,964,20,277.0,86.0,119.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94
24,12.0,1,2019.0,1375.0,16500.0,850,21,10.0,88.0,55.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8.54
25,25.0,1,2015.0,1440.0,36000.0,1029,23,277.0,87.0,178.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.64
27,27.0,1,2007.0,1460.0,39420.0,1127,26,91.0,273.0,510.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.63
30,11.0,1,2022.0,1595.0,17545.0,624,29,339.0,44.0,1395.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.86
31,24.0,1,2019.0,1492.0,35808.0,1087,12,189.0,364.0,10.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.73
32,12.0,1,2020.0,1452.0,17424.0,705,58,102.0,179.0,1410.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.65
33,12.0,1,2016.0,1440.0,17280.0,970,14,193.0,271.0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.48
34,13.0,1,2017.0,1527.0,19851.0,1206,13,188.0,272.0,1290.0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67
35,25.0,1,2014.0,1440.0,36000.0,1154,9,96.0,264.0,1020.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.45
